Operation,Duration_ms,CPU_Idle_Pct,Core0_Usage_Pct,Core1_Usage_Pct,Core2_Usage_Pct,Core3_Usage_Pct,Temperature_C,RAM_Usage_MB,RAM_Pct
Initial,0,98.7654,0,0,0,0,45,695.547,9.19509
ReadImage,76,100,0,0,0,0,45,707.113,9.34799
Grayscale,15,98.75,0,0,0,0,45,714.57,9.44658
Gaussian,5,100,0,0,0,0,45,715.062,9.45308
HSVMask,4,100,0,0,0,0,45,715.555,9.45959
Sobel,4,100,0,0,0,0,45,713.797,9.43635
Hough,14,100,0,0,0,0,45,715.766,9.46238
Final,1038,98.7654,0,0,0,0,45,715.738,9.46202

Algorithmic Metrics
NumLines,AvgLineLength,VerticalLines,CentralLines,IsRoadStraight,FPS
36,157.483,8,36,false,0.963391
